FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1952995,Modale,July 01 2018,262,POINT (-96.0120201 41.6181928),7/1/18,,
1938460,Ionia,July 01 2006,262,POINT (-92.4584186 43.0360537),7/1/06,,
1917760,Cumberland,April 01 2010,262,POINT (-94.8706703 41.273088),4/1/10,,
1944355,Leland,July 01 2004,262,POINT (-93.6350977 43.3318155),7/1/04,,
1945390,Linden,July 01 1999,262,POINT (-94.2699847 41.6427085),7/1/99,,
1940665,Kensett,July 01 2012,262,POINT (-93.2106319 43.3534357),7/1/12,,
1932475,Granville,July 01 1994,262,POINT (-95.8748315 42.9852282),7/1/94,,
1952995,Modale,July 01 2017,262,POINT (-96.0120201 41.6181928),7/1/17,,
1932610,Greeley,July 01 2007,262,POINT (-91.341545 42.5850578),7/1/07,,
1947955,Macedonia,April 01 1990,262,POINT (-95.426772 41.1919281),4/1/90,,
1963075,Pisgah,July 01 1994,262,POINT (-95.9263861 41.8304354),7/1/94,,
1938460,Ionia,July 01 2005,262,POINT (-92.4584186 43.0360537),7/1/05,,
1901540,Alta Vista,July 01 2008,262,POINT (-92.4170267 43.1967709),7/1/08,,
1953895,Moorland,July 01 1996,262,POINT (-94.2954106 42.4413943),7/1/96,,
1906175,Bertram,July 01 2004,262,POINT (-91.5376397 41.9511334),7/1/04,,
1966450,Renwick,July 01 2019,262,POINT (-93.9813336 42.8269157),7/1/19,,
1947730,Lytton,July 01 2007,262,POINT (-94.8604989 42.4233029),7/1/07,,
1917670,Crystal Lake,July 01 2006,262,POINT (-93.792707 43.2229779),7/1/06,,
1941295,Kimballton,July 01 1998,262,POINT (-95.0748694 41.6271029),7/1/98,,
1942825,Lakota,July 01 1999,262,POINT (-94.0963165 43.3786517),7/1/99,,
1964560,Prescott,July 01 1994,262,POINT (-94.6129796 41.0238035),7/1/94,,
1916815,Coulter,April 01 2000,262,POINT (-93.3700471 42.73312),4/1/00,,
1947010,Low Moor,July 01 2014,262,POINT (-90.3542133 41.8023436),7/1/14,,
1944355,Leland,July 01 2005,262,POINT (-93.6350977 43.3318155),7/1/05,,
1916590,Corwith,July 01 2016,262,POINT (-93.9580791 42.9890004),7/1/16,,
1943050,La Motte,July 01 2013,262,POINT (-90.6234291 42.2957342),7/1/13,,
1965055,Pulaski,April 01 1990,262,POINT (-92.2737906 40.6928807),4/1/90,,
1901540,Alta Vista,July 01 2013,262,POINT (-92.4170267 43.1967709),7/1/13,,
1951420,Meservey,July 01 1998,262,POINT (-93.4733851 42.9156435),7/1/98,,
1927210,Fenton,July 01 2014,262,POINT (-94.4279672 43.2181569),7/1/14,,
1964560,Prescott,July 01 2002,262,POINT (-94.6129796 41.0238035),7/1/02,,
1952995,Modale,July 01 2016,261,POINT (-96.0120201 41.6181928),7/1/16,,
1943680,Laurel,July 01 2006,261,POINT (-92.922164 41.884062),7/1/06,,
1941610,Kiron,July 01 2005,261,POINT (-95.3272682 42.1941298),7/1/05,,
1940665,Kensett,July 01 2015,261,POINT (-93.2106319 43.3534357),7/1/15,,
1921540,Dixon,July 01 2007,261,POINT (-90.7823709 41.742124),7/1/07,,
1964560,Prescott,July 01 2001,261,POINT (-94.6129796 41.0238035),7/1/01,,
1952905,Mitchell,July 01 1991,261,POINT (-92.8708732 43.320421),7/1/91,,
1961815,Paton,July 01 2001,261,POINT (-94.2550567 42.1642219),7/1/01,,
1934860,Harvey,July 01 1997,261,POINT (-92.922688 41.3179424),7/1/97,,
1950430,Maurice,July 01 2005,261,POINT (-96.1827384 42.9660542),7/1/05,,
1947370,Lu Verne,April 01 2010,261,POINT (-94.0836262 42.9092283),4/1/10,,
1943680,Laurel,July 01 2007,261,POINT (-92.922164 41.884062),7/1/07,,
