year,city_name,county,latitude,longitude,city_size,population,radius_mi,crop,ag_tot,crop_tot,crop_prop
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,dry_beans,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,potatoes,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,other_crops,152814600,7200,4.7115916934638446e-5
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,peas,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,sod_grass_seed,152814600,900,5.889489616829806e-6
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,switchgrass,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,fallow_idle_cropland,152814600,718200,0.004699812714230185
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,apples,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,christmas_trees,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,triticale,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,dbl_crop_winwht_corn,152814600,0,0
2014,Altoona,Polk County,41.65,-93.47,MICROPOLITAN,16579,5,dbl_crop_oats_corn,152814600,0,0
