"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5285",1942465,"Lake City","April 01 2000",1787,-94.7310464,42.2676372,"4/1/00","",""
"5286",1954480,"Mount Ayr","July 01 2004",1786,-94.2376587,40.7141372,"7/1/04","",""
"5287",1903475,"Atkins","July 01 2015",1784,-91.8585601,41.9942458,"7/1/15","",""
"5288",1920035,"Denver","July 01 2012",1783,-92.3346405,42.6688889,"7/1/12","",""
"5289",1901495,"Alta","July 01 1999",1783,-95.3045104,42.6716795,"7/1/99","",""
"5290",1901495,"Alta","July 01 1998",1783,-95.3045104,42.6716795,"7/1/98","",""
"5291",1915420,"Columbus Junction","July 01 2009",1783,-91.3650803,41.2787342,"7/1/09","",""
"5292",1916500,"Corning","April 01 2000",1783,-94.7395154,40.9929182,"4/1/00","",""
"5293",1948990,"Manson","July 01 1997",1782,-94.5401543,42.5283851,"7/1/97","",""
"5294",1907390,"Bondurant","July 01 1993",1781,-93.4546681,41.6985333,"7/1/93","",""
"5295",1948990,"Manson","July 01 1998",1780,-94.5401543,42.5283851,"7/1/98","",""
"5296",1948990,"Manson","July 01 1996",1780,-94.5401543,42.5283851,"7/1/96","",""
"5297",1920035,"Denver","April 01 2010",1780,-92.3346405,42.6688889,"4/1/10","",""
"5298",1953355,"Monroe","July 01 1999",1779,-93.1037482,41.5189365,"7/1/99","",""
"5299",1937515,"Hull","July 01 1992",1777,-96.1336554,43.1894543,"7/1/92","",""
"5300",1925365,"Ely","April 01 2010",1776,-91.5850379,41.8753461,"4/1/10","",""
"5301",1918255,"Dallas Center","July 01 2019",1776,-93.9816407,41.6854114,"7/1/19","",""
"5302",1948990,"Manson","July 01 1995",1775,-94.5401543,42.5283851,"7/1/95","",""
"5303",1963975,"Pocahontas","July 01 2008",1775,-94.6661298,42.7371357,"7/1/08","",""
"5304",1962130,"Peosta","July 01 2018",1774,-90.8475209,42.447383,"7/1/18","",""
"5305",1948990,"Manson","July 01 1999",1774,-94.5401543,42.5283851,"7/1/99","",""
"5306",1954480,"Mount Ayr","July 01 2006",1770,-94.2376587,40.7141372,"7/1/06","",""
"5307",1920035,"Denver","July 01 2011",1769,-92.3346405,42.6688889,"7/1/11","",""
"5308",1937515,"Hull","July 01 1991",1767,-96.1336554,43.1894543,"7/1/91","",""
"5309",1953355,"Monroe","July 01 1997",1765,-93.1037482,41.5189365,"7/1/97","",""
"5310",1912270,"Center Point","July 01 1991",1765,-91.7794373,42.1843009,"7/1/91","",""
"5311",1954480,"Mount Ayr","July 01 1993",1765,-94.2376587,40.7141372,"7/1/93","",""
"5312",1954480,"Mount Ayr","July 01 2007",1764,-94.2376587,40.7141372,"7/1/07","",""
"5313",1966405,"Remsen","April 01 2000",1762,-95.9724007,42.8148253,"4/1/00","",""
"5314",1948990,"Manson","July 01 2003",1761,-94.5401543,42.5283851,"7/1/03","",""
"5315",1916500,"Corning","July 01 1992",1760,-94.7395154,40.9929182,"7/1/92","",""
"5316",1900190,"Ackley","July 01 2003",1760,-93.0527656,42.5518776,"7/1/03","",""
"5317",1915420,"Columbus Junction","July 01 1991",1760,-91.3650803,41.2787342,"7/1/91","",""
"5318",1953355,"Monroe","July 01 1998",1757,-93.1037482,41.5189365,"7/1/98","",""
"5319",1918255,"Dallas Center",NA,1756.118676,NA,NA,"7/1/20","",""
"5320",1963975,"Pocahontas","July 01 2011",1756,-94.6661298,42.7371357,"7/1/11","",""
"5321",1926400,"Fairfax","July 01 2007",1756,-91.7758659,41.9227519,"7/1/07","",""
"5322",1953355,"Monroe","July 01 1996",1754,-93.1037482,41.5189365,"7/1/96","",""
"5323",1963975,"Pocahontas","July 01 2014",1752,-94.6661298,42.7371357,"7/1/14","",""
"5324",1966315,"Reinbeck","April 01 2000",1751,-92.5942704,42.3225055,"4/1/00","",""
"5325",1918255,"Dallas Center","July 01 2014",1751,-93.9816407,41.6854114,"7/1/14","",""
"5326",1916500,"Corning","July 01 2001",1750,-94.7395154,40.9929182,"7/1/01","",""
"5327",1926760,"Farley","July 01 2019",1750,-91.0091147,42.4437548,"7/1/19","",""
"5328",1963975,"Pocahontas","July 01 2009",1750,-94.6661298,42.7371357,"7/1/09","",""
"5329",1963975,"Pocahontas","July 01 2012",1750,-94.6661298,42.7371357,"7/1/12","",""
"5330",1954480,"Mount Ayr","July 01 2008",1750,-94.2376587,40.7141372,"7/1/08","",""
"5331",1953355,"Monroe","July 01 1994",1750,-93.1037482,41.5189365,"7/1/94","",""
"5332",1953355,"Monroe","July 01 1995",1747,-93.1037482,41.5189365,"7/1/95","",""
"5333",1942465,"Lake City","July 01 2002",1747,-94.7310464,42.2676372,"7/1/02","",""
"5334",1953355,"Monroe","July 01 1993",1747,-93.1037482,41.5189365,"7/1/93","",""
"5335",1915420,"Columbus Junction","July 01 1992",1747,-91.3650803,41.2787342,"7/1/92","",""
"5336",1963975,"Pocahontas","July 01 2013",1747,-94.6661298,42.7371357,"7/1/13","",""
"5337",1953355,"Monroe","July 01 1992",1746,-93.1037482,41.5189365,"7/1/92","",""
"5338",1953355,"Monroe","July 01 1991",1746,-93.1037482,41.5189365,"7/1/91","",""
"5339",1903475,"Atkins","July 01 2014",1745,-91.8585601,41.9942458,"7/1/14","",""
"5340",1948990,"Manson","July 01 2004",1742,-94.5401543,42.5283851,"7/1/04","",""
"5341",1953355,"Monroe","April 01 1990",1739,-93.1037482,41.5189365,"4/1/90","",""
"5342",1900190,"Ackley","July 01 2004",1739,-93.0527656,42.5518776,"7/1/04","",""
"5343",1966405,"Remsen","July 01 2001",1738,-95.9724007,42.8148253,"7/1/01","",""
"5344",1918255,"Dallas Center","July 01 2013",1736,-93.9816407,41.6854114,"7/1/13","",""
"5345",1954480,"Mount Ayr","July 01 1994",1735,-94.2376587,40.7141372,"7/1/94","",""
"5346",1916500,"Corning","July 01 1993",1735,-94.7395154,40.9929182,"7/1/93","",""
"5347",1952950,"Mitchellville","July 01 1993",1734,-93.3629093,41.6678771,"7/1/93","",""
"5348",1973875,"Solon","July 01 2009",1734,-91.4975934,41.8063316,"7/1/09","",""
"5349",1934725,"Hartley","April 01 2000",1733,-95.4767498,43.1790472,"4/1/00","",""
"5350",1954480,"Mount Ayr","July 01 2009",1730,-94.2376587,40.7141372,"7/1/09","",""
"5351",1916500,"Corning","July 01 2002",1729,-94.7395154,40.9929182,"7/1/02","",""
"5352",1918255,"Dallas Center","July 01 1999",1728,-93.9816407,41.6854114,"7/1/99","",""
"5353",1975990,"Stuart","July 01 2019",1728,-94.3186774,41.5002688,"7/1/19","",""
"5354",1975990,"Stuart","July 01 2001",1727,-94.3186774,41.5002688,"7/1/01","",""
"5355",1942285,"Lacona","April 01 2010",1727,-93.3849697,41.1899087,"4/1/10","",""
"5356",1916500,"Corning","July 01 1994",1726,-94.7395154,40.9929182,"7/1/94","",""
"5357",1975990,"Stuart","July 01 2004",1726,-94.3186774,41.5002688,"7/1/04","",""
"5358",1922980,"Durant","July 01 2004",1726,-90.9119451,41.6014845,"7/1/04","",""
"5359",1964470,"Prairie City","July 01 2018",1726,-93.2391586,41.5952729,"7/1/18","",""
"5360",1933465,"Guttenberg",NA,1724.909573,NA,NA,"7/1/20","",""
"5361",1937515,"Hull","April 01 1990",1724,-96.1336554,43.1894543,"4/1/90","",""
