"","CITY.NAME","Year","Fiscal.Effort","Fiscal.Capacity","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","Proportion of land dedicated to ag","Number of unique crops grown","Shannon's Diversity Index","Shannon's Evenness Index","Simpson's Diveristy Index, Chance","Simpson's Evenness Index","miles50","min50","miles25","min25","miles10","min10","CITY.SIZE","QoL Average"
"53","HOPKINTON",2016,114.628151621107,84.2700700627073,27.0833,60.4938,82.0988,48.366,64.4444,54.7009,61.1111,0.711414171006296,11,1.22388320755187,0.510398940869331,0.635201228441262,0.249203391011017,39.66,45,38.74,48,56.32,70,"RURAL",56.8997571428571
"54","HOSPERS",2016,108.073411120007,120.773631939234,59.3137,70.3196,86.7816,54.7619,71.875,51.8519,50.4505,0.888134392613536,11,0.868200667021349,0.362067800404039,0.531835723958466,0.19418203302002,51.08,54,128.39,137,26.14,28,"RURAL",63.6220285714286
"55","HUMBOLDT",2016,110.550971400819,114.506697814214,58.7571,56.0847,77.9661,57.5758,71.345,50.9259,57.971,0.842338378879268,11,0.932982887284235,0.389084084642042,0.545671690929394,0.200095589674037,84.82,88,19.02,27,55.68,66,"URBAN CLUSTER",61.5179428571429
"56","JEFFERSON",2016,97.3580551117105,94.784836503421,45.1389,65.1042,76.1006,52.1212,71.5152,68.8889,62.5,0.802258903282723,15,1.05223517306403,0.388558222678352,0.590710292661406,0.162883809368593,42.64,49,40.26,49,27.15,32,"URBAN CLUSTER",63.0527142857143
"57","KANAWHA",2016,144.004976122173,101.703989195164,36.9565,52.1739,77.037,53.9007,67.2414,35,45.2991,0.927906706524839,9,0.790829628287415,0.359922074622963,0.509380527891174,0.226471058381607,78.3,85,44.99,55,67.74,83,"RURAL",52.5155142857143
"58","LAKE PARK",2016,103.516831459435,191.166114897979,41.2698,34.1667,89.418,45.3333,66.6667,58.0645,57.6577,0.798507568623925,10,0.962376560312913,0.41795482965693,0.571225852161885,0.23322301613612,101.59,102,128.9,138,30.56,36,"RURAL PLUS",56.0823857142857
"59","LAMONI",2016,124.936042772083,65.9440523009634,28.4722,49.0566,71.6312,43.7909,62.2642,58.0645,44.0476,0.661902132958296,13,0.996756158086666,0.38860656456513,0.507956707494956,0.156333961045284,69.81,65,77.08,74,65.81,64,"RURAL PLUS",51.0467428571429
"60","LE CLAIRE",2016,91.2071699843956,186.364852110082,34.6667,64.1026,98.6111,71.3178,68.1481,54.902,47.619,0.29656232497864,14,0.949401771313332,0.359750339888123,0.504800729431714,0.144242077228023,14.36,24,10.52,16,47.76,52,"URBAN CLUSTER",62.7667571428571
"61","LE MARS",2016,101.280167554228,130.373178433307,57.5163,69.0058,72.6667,55.7823,66.6667,60.6061,52.6882,0.861445587825264,10,0.943626589512319,0.409811820802385,0.566183452269343,0.230512184293364,26.44,33,127.13,129,0,0,"MICROPOLITAN",62.1331571428572
"62","MADRID",2016,129.71012971004,86.7439404229685,30.9524,45.3901,79.2453,58.8652,58.6667,67.7083,56.1905,0.687273544364239,13,1.06602421250044,0.415612187195564,0.613398697384722,0.198972627362371,21.18,28,21.57,30,15.48,18,"RURAL PLUS",56.7169285714286
"63","MAPLETON",2016,92.5149754199715,93.1150231305773,27.1186,80.9524,77.0833,46.8927,63.0769,39.8148,54.4872,0.871182390325804,9,1.00267393224676,0.456336572323592,0.583821716330162,0.266979598578136,45.82,48,101.11,103,57.22,63,"RURAL PLUS",55.6322714285714
"64","MEDIAPOLIS",2016,84.5620272070883,110.994767835859,48.9796,50.641,91.9355,58.3333,72.9885,68.2927,46.6667,0.76279704968429,14,1.10512473383882,0.418757380310466,0.62068994688715,0.18831183313594,65.38,71,15.84,22,32.19,42,"RURAL PLUS",62.5481857142857
"65","MISSOURI VALLEY",2016,115.581832041851,98.3280824754578,27.7778,64.1026,58.6207,47.3684,62.2807,46.6667,52.7778,0.784599398083872,11,1.00944596687397,0.420971665579011,0.59622114021186,0.225145741797355,22.68,26,121.06,115,71.16,83,"URBAN CLUSTER",51.3706714285714
"66","MONROE",2016,91.9169287814291,98.3292316767389,23.7179,45.0292,72.5146,54.0741,59.322,47.7477,41.2698,0.845883771452246,13,1.20729067819552,0.470687920088351,0.666665953293468,0.230768736896535,30.23,38,39.05,44,13.64,17,"RURAL PLUS",49.0964714285714
"67","MONTEZUMA",2016,107.579868760288,120.893908153683,50.3145,70.4301,76.7857,38.2716,66.1111,45.4545,40.1961,0.837408066049586,9,1.15421886078564,0.525307641599814,0.662040629005434,0.328770617557155,62.47,60,50.95,58,25.44,31,"RURAL PLUS",55.3662285714286
"68","MOULTON",2016,95.7494175626661,50.540951657981,13.1579,43.1373,77.3333,30,55.2632,34.5238,59.8291,0.775922407192082,11,1.13202825424626,0.472092450028132,0.585717854308763,0.219437626879641,93.48,111,36.68,43,45.69,54,"RURAL",44.7492285714286
"69","MOUNT AYR",2016,115.55063667679,91.5141319269931,30.5085,67.1717,78.1609,49.0566,63.0952,58.1395,67.3203,0.777035748861558,14,1.15792423543878,0.438764335448366,0.587335807328935,0.173091275417509,80.23,77,87.5,86,76.23,76,"RURAL PLUS",59.0646714285714
"70","MURRAY",2016,116.658159690488,58.8433135614322,18.4211,18.75,90.4762,32.5397,50,44.0476,11.9048,0.836144805554573,13,1.28274672709926,0.500106063836192,0.645496915009413,0.21698845561561,47.99,48,55.26,57,43.99,47,"RURAL",38.0199142857143
"71","NASHUA",2016,119.156663773844,94.1145499301642,27.8912,72.1393,80.9524,46.1538,62.7119,57.7778,24.3243,0.807196762762095,8,1.1542331817971,0.555068829136056,0.641021741156673,0.348210502782998,39.16,39,33.57,35,20.01,25,"RURAL PLUS",53.1358142857143
"72","NEOLA",2016,83.5914328623901,125.111849748411,NA,NA,NA,NA,NA,NA,NA,0.905432681200832,12,1.04477448905187,0.420448184297388,0.591517608614612,0.204007161852691,19.79,23,106.65,98,74.87,85,"RURAL PLUS",NA
"73","NORA SPRINGS",2016,90.4238404440218,96.2966771063524,19.8413,51.8519,75.4717,51.0204,62.0915,53.9216,38.2716,0.857050649650511,11,0.965837808160816,0.402785650865257,0.553112657671799,0.203427312206855,70.24,66,10.19,16,51.09,52,"RURAL PLUS",50.3528571428571
"74","NORTHWOOD",2016,96.9140517659062,117.171577331393,38.6667,51.7857,74.6914,59.6154,67.9012,63.3333,58.7719,0.791390542776225,12,1.05515040458603,0.424623759880901,0.60097930195069,0.208844638237376,99.92,100,20.42,26,80.77,86,"RURAL PLUS",59.2522285714286
"75","OAKLAND",2016,58.6746338686158,122.584899548808,NA,NA,NA,NA,NA,NA,NA,0.911736463305489,9,0.971087664250937,0.441961042247318,0.577538066029872,0.263008574682536,25.88,33,104.03,101,79.07,87,"RURAL PLUS",NA
"76","OLIN",2016,115.374669146221,74.3218763491278,16.6667,45.2381,54.9383,40.9836,62.963,77.0115,42.8571,0.810153460658428,10,1.0648022774758,0.462437753425753,0.600471342253329,0.250294936448356,39.63,43,28.99,37,41.16,51,"RURAL",48.6654714285714
